fund_type,quarter,borrowing_pct_gav,source
Private Equity Fund,2019Q1,0.051,Tab.2.9
Venture Capital Fund,2019Q1,0.008,Tab.2.9
Section 3 Liquidity Fund,2019Q1,0.0,Tab.2.9
Liquidity Fund,2019Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q2,0.471,Tab.2.9
Hedge Fund,2019Q2,0.432,Tab.2.9
Securitized Asset Fund,2019Q2,0.521,Tab.2.9
Real Estate Fund,2019Q2,0.147,Tab.2.9
Other Private Fund,2019Q2,0.034,Tab.2.9
Section 4 Private Equity Fund,2019Q2,0.052,Tab.2.9
Private Equity Fund,2019Q2,0.051,Tab.2.9
Venture Capital Fund,2019Q2,0.009,Tab.2.9
Section 3 Liquidity Fund,2019Q2,0.0,Tab.2.9
Liquidity Fund,2019Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q3,0.466,Tab.2.9
Hedge Fund,2019Q3,0.43,Tab.2.9
Securitized Asset Fund,2019Q3,0.522,Tab.2.9
Real Estate Fund,2019Q3,0.147,Tab.2.9
Other Private Fund,2019Q3,0.034,Tab.2.9
Section 4 Private Equity Fund,2019Q3,0.052,Tab.2.9
Private Equity Fund,2019Q3,0.051,Tab.2.9
Venture Capital Fund,2019Q3,0.009,Tab.2.9
Section 3 Liquidity Fund,2019Q3,0.0,Tab.2.9
Liquidity Fund,2019Q3,0.0,Tab.2.9
Qualifying Hedge Fund,2019Q4,0.473,Tab.2.9
Hedge Fund,2019Q4,0.434,Tab.2.9
Securitized Asset Fund,2019Q4,0.525,Tab.2.9
Real Estate Fund,2019Q4,0.148,Tab.2.9
Other Private Fund,2019Q4,0.045,Tab.2.9
Section 4 Private Equity Fund,2019Q4,0.073,Tab.2.9
Private Equity Fund,2019Q4,0.065,Tab.2.9
Venture Capital Fund,2019Q4,0.008,Tab.2.9
Section 3 Liquidity Fund,2019Q4,0.0,Tab.2.9
Liquidity Fund,2019Q4,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q1,0.459,Tab.2.9
Hedge Fund,2020Q1,0.423,Tab.2.9
Securitized Asset Fund,2020Q1,0.49,Tab.2.9
Real Estate Fund,2020Q1,0.15,Tab.2.9
Other Private Fund,2020Q1,0.048,Tab.2.9
Section 4 Private Equity Fund,2020Q1,0.073,Tab.2.9
Private Equity Fund,2020Q1,0.064,Tab.2.9
Venture Capital Fund,2020Q1,0.007,Tab.2.9
Section 3 Liquidity Fund,2020Q1,0.0,Tab.2.9
Liquidity Fund,2020Q1,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q2,0.452,Tab.2.9
Hedge Fund,2020Q2,0.413,Tab.2.9
Securitized Asset Fund,2020Q2,0.477,Tab.2.9
Real Estate Fund,2020Q2,0.147,Tab.2.9
Other Private Fund,2020Q2,0.047,Tab.2.9
Section 4 Private Equity Fund,2020Q2,0.073,Tab.2.9
Private Equity Fund,2020Q2,0.064,Tab.2.9
Venture Capital Fund,2020Q2,0.008,Tab.2.9
Section 3 Liquidity Fund,2020Q2,0.0,Tab.2.9
Liquidity Fund,2020Q2,0.0,Tab.2.9
Qualifying Hedge Fund,2020Q3,0.47,Tab.2.9
Hedge Fund,2020Q3,0.43,Tab.2.9
Securitized Asset Fund,2020Q3,0.475,Tab.2.9
Real Estate Fund,2020Q3,0.147,Tab.2.9
