fund_type,quarter,derivative_value,derivative_pct_nav
Real Estate Fund,2018Q2,17.0,0.044
Real Estate Fund,2018Q3,17.0,0.044
Real Estate Fund,2018Q4,17.0,0.037
Real Estate Fund,2019Q1,17.0,0.037
Real Estate Fund,2019Q2,17.0,0.037
Real Estate Fund,2019Q3,17.0,0.037
Real Estate Fund,2019Q4,18.0,0.036
Real Estate Fund,2020Q1,18.0,0.036
Real Estate Fund,2020Q2,18.0,0.036
Real Estate Fund,2020Q3,18.0,0.036
Real Estate Fund,2020Q4,19.0,0.031
Real Estate Fund,2021Q1,18.0,0.029
Real Estate Fund,2021Q2,18.0,0.029
Real Estate Fund,2021Q3,18.0,0.029
Real Estate Fund,2021Q4,41.0,0.056
Real Estate Fund,2022Q1,41.0,0.056
Real Estate Fund,2022Q2,41.0,0.055
Real Estate Fund,2022Q3,41.0,0.055
Real Estate Fund,2022Q4,72.0,0.084
Real Estate Fund,2023Q1,76.0,0.089
Real Estate Fund,2023Q2,78.0,0.09
Real Estate Fund,2023Q3,65.0,0.076
Real Estate Fund,2023Q4,64.0,0.078
Real Estate Fund,2024Q1,64.0,0.077
Real Estate Fund,2024Q2,64.0,0.078
Real Estate Fund,2024Q3,64.0,0.078
Real Estate Fund,2024Q4,94.0,0.107
Real Estate Fund,2025Q1,94.0,0.107
Section 4 Private Equity Fund,2013Q1,,0.043
Section 4 Private Equity Fund,2013Q2,,0.043
Section 4 Private Equity Fund,2013Q3,,0.042
Section 4 Private Equity Fund,2013Q4,,0.035
Section 4 Private Equity Fund,2014Q1,,0.035
Section 4 Private Equity Fund,2014Q2,,0.035
Section 4 Private Equity Fund,2014Q3,,0.035
Section 4 Private Equity Fund,2014Q4,,0.047
Section 4 Private Equity Fund,2015Q1,,0.047
Section 4 Private Equity Fund,2015Q2,,0.047
Section 4 Private Equity Fund,2015Q3,,0.047
Section 4 Private Equity Fund,2015Q4,,0.031
Section 4 Private Equity Fund,2016Q1,,0.031
Section 4 Private Equity Fund,2016Q2,,0.031
Section 4 Private Equity Fund,2016Q3,,0.031
Section 4 Private Equity Fund,2016Q4,,0.023
Section 4 Private Equity Fund,2017Q1,,0.023
Section 4 Private Equity Fund,2017Q2,,0.023
Section 4 Private Equity Fund,2017Q3,,0.023
Section 4 Private Equity Fund,2017Q4,,0.019
Section 4 Private Equity Fund,2018Q1,,0.019
Section 4 Private Equity Fund,2018Q2,,0.019
Section 4 Private Equity Fund,2018Q3,,0.019
Section 4 Private Equity Fund,2018Q4,,0.015
Section 4 Private Equity Fund,2019Q1,,0.015
Section 4 Private Equity Fund,2019Q2,,0.015
Section 4 Private Equity Fund,2019Q3,,0.015
Section 4 Private Equity Fund,2019Q4,,0.015
Section 4 Private Equity Fund,2020Q1,,0.015
Section 4 Private Equity Fund,2020Q2,,0.015
Section 4 Private Equity Fund,2020Q3,,0.015
Section 4 Private Equity Fund,2020Q4,,0.011
Section 4 Private Equity Fund,2021Q1,,0.01
Section 4 Private Equity Fund,2021Q2,,0.01
Section 4 Private Equity Fund,2021Q3,,0.01
Section 4 Private Equity Fund,2021Q4,,0.012
Section 4 Private Equity Fund,2022Q1,,0.012
Section 4 Private Equity Fund,2022Q2,,0.012
Section 4 Private Equity Fund,2022Q3,,0.012
Section 4 Private Equity Fund,2022Q4,,0.015
Section 4 Private Equity Fund,2023Q1,,0.015
Section 4 Private Equity Fund,2023Q2,,0.015
Section 4 Private Equity Fund,2023Q3,,0.015
Section 4 Private Equity Fund,2023Q4,,0.021
Section 4 Private Equity Fund,2024Q1,,0.021
Section 4 Private Equity Fund,2024Q2,,0.021
Section 4 Private Equity Fund,2024Q3,,0.021
Section 4 Private Equity Fund,2024Q4,,0.019
Section 4 Private Equity Fund,2025Q1,,0.018
Securitized Asset Fund,2013Q1,72.0,0.632
Securitized Asset Fund,2013Q2,70.0,0.619
Securitized Asset Fund,2013Q3,70.0,0.608
Securitized Asset Fund,2013Q4,45.0,0.388
Securitized Asset Fund,2014Q1,45.0,0.373
Securitized Asset Fund,2014Q2,45.0,0.359
Securitized Asset Fund,2014Q3,45.0,0.356
Securitized Asset Fund,2014Q4,27.0,0.237
Securitized Asset Fund,2015Q1,29.0,0.256
Securitized Asset Fund,2015Q2,29.0,0.251
Securitized Asset Fund,2015Q3,28.0,0.242
Securitized Asset Fund,2015Q4,11.0,0.083
Securitized Asset Fund,2016Q1,11.0,0.079
Securitized Asset Fund,2016Q2,11.0,0.077
Securitized Asset Fund,2016Q3,10.0,0.074
Securitized Asset Fund,2016Q4,14.0,0.098
Securitized Asset Fund,2017Q1,14.0,0.098
Securitized Asset Fund,2017Q2,14.0,0.094
Securitized Asset Fund,2017Q3,13.0,0.092
Securitized Asset Fund,2017Q4,3.0,0.017
Securitized Asset Fund,2018Q1,2.0,0.016
Securitized Asset Fund,2018Q2,2.0,0.015
Securitized Asset Fund,2018Q3,2.0,0.015
Securitized Asset Fund,2018Q4,3.0,0.016
Securitized Asset Fund,2019Q1,3.0,0.016
Securitized Asset Fund,2019Q2,3.0,0.016
Securitized Asset Fund,2019Q3,3.0,0.016
Securitized Asset Fund,2019Q4,3.0,0.015
Securitized Asset Fund,2020Q1,3.0,0.015
Securitized Asset Fund,2020Q2,3.0,0.015
Securitized Asset Fund,2020Q3,3.0,0.015
Securitized Asset Fund,2020Q4,3.0,0.012
Securitized Asset Fund,2021Q1,3.0,0.013
Securitized Asset Fund,2021Q2,3.0,0.012
Securitized Asset Fund,2021Q3,3.0,0.012
Securitized Asset Fund,2021Q4,5.0,0.018
Securitized Asset Fund,2022Q1,5.0,0.018
Securitized Asset Fund,2022Q2,5.0,0.018
Securitized Asset Fund,2022Q3,5.0,0.018
Securitized Asset Fund,2022Q4,,0.021
Securitized Asset Fund,2023Q1,,0.021
Securitized Asset Fund,2023Q2,,0.014
Securitized Asset Fund,2023Q3,,0.014
Securitized Asset Fund,2023Q4,,0.003
Securitized Asset Fund,2024Q1,,0.003
Securitized Asset Fund,2024Q2,,0.003
Securitized Asset Fund,2024Q3,,0.003
Securitized Asset Fund,2024Q4,,0.009
Securitized Asset Fund,2025Q1,,0.009
Total,2013Q1,10545.0,1.978
Total,2013Q2,9789.0,1.801
Total,2013Q3,8794.0,1.573
Total,2013Q4,8978.0,1.438
Total,2014Q1,9045.0,1.425
Total,2014Q2,9624.0,1.475
Total,2014Q3,10046.0,1.531
Total,2014Q4,9126.0,1.356
Total,2015Q1,9728.0,1.406
Total,2015Q2,9249.0,1.338
Total,2015Q3,9474.0,1.401
Total,2015Q4,8612.0,1.229
Total,2016Q1,9315.0,1.341
Total,2016Q2,9493.0,1.358
Total,2016Q3,9532.0,1.349
Total,2016Q4,9335.0,1.266
Total,2017Q1,10384.0,1.385
Total,2017Q2,10312.0,1.364
Total,2017Q3,11572.0,1.514
Total,2017Q4,12370.0,1.488
Total,2018Q1,14442.0,1.708
Total,2018Q2,13624.0,1.597
Total,2018Q3,13797.0,1.608
Total,2018Q4,12871.0,1.475
Total,2019Q1,14369.0,1.595
Total,2019Q2,13285.0,1.461
Total,2019Q3,13779.0,1.517
Total,2019Q4,13012.0,1.326
Total,2020Q1,12206.0,1.284
Total,2020Q2,11282.0,1.148
Total,2020Q3,13977.0,1.386
Total,2020Q4,14392.0,1.251
Total,2021Q1,15463.0,1.316
Total,2021Q2,16479.0,1.36
Total,2021Q3,16078.0,1.338
Total,2021Q4,15730.0,1.117
Total,2022Q1,15822.0,1.122
Total,2022Q2,14736.0,1.062
Total,2022Q3,13976.0,1.013
Total,2022Q4,14772.0,1.051
Total,2023Q1,15071.0,1.077
Total,2023Q2,15289.0,1.089
Total,2023Q3,15562.0,1.106
Total,2023Q4,15455.0,1.022
Total,2024Q1,16952.0,1.104
Total,2024Q2,17743.0,1.155
Total,2024Q3,19533.0,1.256
Total,2024Q4,18358.0,1.124
Total,2025Q1,20631.0,1.256
Venture Capital Fund,2013Q1,,0.003
Venture Capital Fund,2013Q2,,0.003
Venture Capital Fund,2013Q3,,0.003
Venture Capital Fund,2013Q4,0.0,0.002
Venture Capital Fund,2014Q1,0.0,0.002
Venture Capital Fund,2014Q2,0.0,0.002
Venture Capital Fund,2014Q3,0.0,0.002
Venture Capital Fund,2014Q4,,0.001
Venture Capital Fund,2015Q1,,0.001
Venture Capital Fund,2015Q2,,0.001
Venture Capital Fund,2015Q3,,0.001
Venture Capital Fund,2015Q4,,0.0
Venture Capital Fund,2016Q1,,0.0
Venture Capital Fund,2016Q2,,0.0
Venture Capital Fund,2016Q3,,0.0
Venture Capital Fund,2016Q4,,0.0
Venture Capital Fund,2017Q1,,0.0
Venture Capital Fund,2017Q2,,0.0
Venture Capital Fund,2017Q3,,0.0
Venture Capital Fund,2017Q4,,0.0
Venture Capital Fund,2018Q1,,0.0
Venture Capital Fund,2018Q2,,0.0
Venture Capital Fund,2018Q3,,0.0
Venture Capital Fund,2018Q4,,0.001
Venture Capital Fund,2019Q1,,0.001
Venture Capital Fund,2019Q2,,0.001
Venture Capital Fund,2019Q3,,0.001
Venture Capital Fund,2019Q4,,0.001
Venture Capital Fund,2020Q1,,0.0
Venture Capital Fund,2020Q2,,0.001
Venture Capital Fund,2020Q3,,0.001
Venture Capital Fund,2020Q4,,0.001
Venture Capital Fund,2021Q1,,0.001
Venture Capital Fund,2021Q2,,0.001
Venture Capital Fund,2021Q3,,0.001
Venture Capital Fund,2021Q4,,0.001
Venture Capital Fund,2022Q1,,0.001
Venture Capital Fund,2022Q2,,0.001
Venture Capital Fund,2022Q3,,0.001
Venture Capital Fund,2022Q4,0.0,0.001
Venture Capital Fund,2023Q1,0.0,0.001
Venture Capital Fund,2023Q2,0.0,0.001
Venture Capital Fund,2023Q3,0.0,0.001
Venture Capital Fund,2023Q4,0.0,0.001
Venture Capital Fund,2024Q1,0.0,0.001
Venture Capital Fund,2024Q2,0.0,0.001
Venture Capital Fund,2024Q3,0.0,0.001
Venture Capital Fund,2024Q4,1.0,0.002
Venture Capital Fund,2025Q1,1.0,0.002
