sector,quarter,amount,table
Hotels and Motels,2024Q4,0.004,Tab.10.1
Commercial Banking,2024Q4,0.004,Tab.10.1
Other Activities Related to Real...,2024Q4,0.004,Tab.10.1
Lessors of Residential Buildings...,2024Q4,0.003,Tab.10.1
Offices of Dentists,2024Q4,0.002,Tab.10.1
Real Estate Credit,2024Q4,0.002,Tab.10.1
Marketing Research and Public...,2024Q4,0.002,Tab.10.1
Supermarkets and Other Grocery...,2024Q4,0.002,Tab.10.1
Software Publishers,2013Q4,209.0,Tab.10.2
Computing Infrastructure...,2013Q4,173.0,Tab.10.2
Custom Computer Programming...,2013Q4,82.0,Tab.10.2
Insurance Agencies and Brokerages,2013Q4,93.0,Tab.10.2
Other Financial Vehicles,2013Q4,56.0,Tab.10.2
Computer Systems Design Services,2013Q4,62.0,Tab.10.2
"All Other Professional,...",2013Q4,73.0,Tab.10.2
Other Computer Related Services,2013Q4,63.0,Tab.10.2
Offices of Physicians,2013Q4,42.0,Tab.10.2
Lessors of Nonresidential Buildings,2013Q4,37.0,Tab.10.2
Engineering Services,2013Q4,46.0,Tab.10.2
Consumer Lending,2013Q4,53.0,Tab.10.2
Natural Gas Distribution,2013Q4,31.0,Tab.10.2
Full-Service Restaurants,2013Q4,68.0,Tab.10.2
Offices of Other Holding Companies,2013Q4,29.0,Tab.10.2
Home Health Care Services,2013Q4,58.0,Tab.10.2
Hotels and Motels,2013Q4,30.0,Tab.10.2
Commercial Banking,2013Q4,87.0,Tab.10.2
Other Activities Related to Real...,2013Q4,29.0,Tab.10.2
Lessors of Residential Buildings...,2013Q4,16.0,Tab.10.2
Offices of Dentists,2013Q4,22.0,Tab.10.2
Real Estate Credit,2013Q4,33.0,Tab.10.2
Marketing Research and Public...,2013Q4,19.0,Tab.10.2
Supermarkets and Other Grocery...,2013Q4,20.0,Tab.10.2
Software Publishers,2014Q4,247.0,Tab.10.2
Computing Infrastructure...,2014Q4,199.0,Tab.10.2
Custom Computer Programming...,2014Q4,98.0,Tab.10.2
Insurance Agencies and Brokerages,2014Q4,102.0,Tab.10.2
Other Financial Vehicles,2014Q4,52.0,Tab.10.2
Computer Systems Design Services,2014Q4,63.0,Tab.10.2
"All Other Professional,...",2014Q4,112.0,Tab.10.2
Other Computer Related Services,2014Q4,68.0,Tab.10.2
Offices of Physicians,2014Q4,54.0,Tab.10.2
Lessors of Nonresidential Buildings,2014Q4,38.0,Tab.10.2
Engineering Services,2014Q4,42.0,Tab.10.2
Consumer Lending,2014Q4,60.0,Tab.10.2
Natural Gas Distribution,2014Q4,29.0,Tab.10.2
Full-Service Restaurants,2014Q4,78.0,Tab.10.2
Offices of Other Holding Companies,2014Q4,22.0,Tab.10.2
Home Health Care Services,2014Q4,52.0,Tab.10.2
Hotels and Motels,2014Q4,46.0,Tab.10.2
Commercial Banking,2014Q4,83.0,Tab.10.2
Other Activities Related to Real...,2014Q4,36.0,Tab.10.2
Lessors of Residential Buildings...,2014Q4,20.0,Tab.10.2
Offices of Dentists,2014Q4,29.0,Tab.10.2
Real Estate Credit,2014Q4,32.0,Tab.10.2
Marketing Research and Public...,2014Q4,22.0,Tab.10.2
Supermarkets and Other Grocery...,2014Q4,42.0,Tab.10.2
Software Publishers,2015Q4,315.0,Tab.10.2
Computing Infrastructure...,2015Q4,229.0,Tab.10.2
