date,commodity_total,credit_cleared,credit_total,credit_uncleared,cross_currency_cleared,cross_currency_total,cross_currency_uncleared,equity_cleared,equity_total,fx_cleared,fx_total,fx_uncleared,ir_cleared,ir_total,ir_uncleared,ir_cleared_pct,credit_cleared_pct,fx_cleared_pct,cross_currency_cleared_pct,equity_cleared_pct
2021-05-07,,2174.07,4222.191,2048.122,,,,,,1267.524,52607.547,51340.022,232952.92,285071.983,52119.063,0.8171722718889566,0.5149151234513077,0.024093957469638338,,
2021-05-14,,2220.067,4341.661,2121.594,,,,,,1276.863,53021.028,51744.164,232552.066,284675.924,52123.858,0.8169010667723344,0.5113404754539794,0.024082199990539604,,
2021-05-21,,2222.522,4056.267,1833.744,,,,,,1356.468,53224.876,51868.408,226588.039,278129.137,51541.098,0.814686449050464,0.547923004082325,0.02548560188284892,,
2021-05-28,,2196.785,4080.812,1884.026,,,,,,1388.232,55723.45,54335.218,229851.804,281641.272,51789.468,0.8161154875056806,0.5383205597317396,0.024912886764907775,,
2021-06-04,,2202.967,4154.658,1951.691,,,,,,1401.084,54449.42,53048.336,229805.335,282366.55,52561.214,0.8138546686921663,0.5302402748914592,0.02573184434287822,,
2021-06-11,,2137.354,4643.774,2506.42,,,,,,1450.668,56408.378,54957.71,228986.014,281251.619,52265.605,0.8141678075104698,0.46026227805229103,0.025717243633560958,,
2021-06-18,,2195.285,4506.879,2311.595,,,,,,1326.409,51209.431,49883.022,222310.375,272626.721,50316.346,0.8154386854838047,0.4870965029236418,0.02590165471668686,,
2021-06-25,,2086.623,4462.207,2375.584,,,,,,1331.227,52203.341,50872.114,223400.006,274793.777,51393.771,0.8129733083438785,0.46762129143717446,0.025500800801236075,,
2021-07-02,,2033.95,4468.128,2434.178,,,,,,1365.685,53454.045,52088.359,221833.463,272962.654,51129.191,0.8126879620682469,0.4552130109074763,0.025548768105388468,,
2021-07-09,,2102.089,4576.552,2474.462,,,,,,1295.471,53753.023,52457.552,223172.023,274326.275,51154.252,0.8135276979939307,0.45931718901041657,0.02410043059345704,,
2021-07-16,,2077.862,4001.682,1923.82,,,,,,1359.045,52043.372,50684.327,219620.029,270451.659,50831.63,0.8120491100407708,0.5192471565706621,0.026113699934739047,,
2021-07-23,,2147.425,3883.46,1736.035,,,,,,1331.336,52971.426,51640.089,220284.798,271245.722,50960.924,0.8121226627124464,0.5529669418508238,0.025133097228683253,,
2021-07-30,,2131.231,3922.3,1791.069,,,,,,1412.671,55341.808,53929.137,221469.468,271943.095,50473.627,0.8143963647983047,0.5433625678810902,0.025526289274828175,,
2021-08-06,,2116.474,3914.74,1798.266,,,,,,1360.831,51998.271,50637.441,221320.358,272056.293,50735.935,0.8135094232133788,0.540642290420309,0.026170697098755455,,
2021-08-13,,2131.815,3982.038,1850.223,,,,,,1382.76,52979.455,51596.695,220079.025,270728.426,50649.4,0.8129143594252641,0.5353577740845266,0.02609992873652626,,
2021-08-20,,2188.454,3883.222,1694.768,,,,,,1373.941,52834.161,51460.219,217448.245,266860.547,49412.302,0.814838489407728,0.5635665434528337,0.02600478504806767,,
2021-08-27,,2148.66,3868.271,1719.611,,,,,,1458.985,55278.279,53819.295,221641.024,271684.327,50043.303,0.8158034968281406,0.5554574640711573,0.026393459174081736,,
2021-09-03,,2172.847,3980.227,1807.381,,,,,,1404.524,55264.436,53859.912,223074.684,273137.753,50063.07,0.8167112804797805,0.5459103211952485,0.02541460841109461,,
2021-09-10,,2182.94,4065.516,1882.576,,,,,,1509.432,57601.444,56092.012,223189.587,273218.671,50029.083,0.816889951858378,0.5369404523312662,0.026204759727898486,,
2021-09-17,,2240.182,3897.726,1657.544,,,,,,1366.866,51683.778,50316.912,219571.87,269315.606,49743.736,0.815295753785616,0.5747407590990233,0.02644671215792313,,
2021-09-24,,2677.405,4559.646,1882.241,,,,,,1417.8,52682.208,51264.407,219214.996,268987.933,49772.937,0.8149621938616852,0.5871958042356797,0.026912311647985597,,
2021-10-01,,2569.55,4555.36,1985.81,,,,,,1421.827,54754.192,53332.364,221362.779,271046.264,49683.485,0.8166973996734372,0.5640717747883812,0.02596745469278407,,
2021-10-08,,2427.861,4510.292,2082.431,,,,,,1403.346,52054.296,50650.95,226704.714,276028.716,49324.002,0.8213084395175754,0.538293529554184,0.026959273447862978,,
2021-10-15,,2443.119,4652.604,2209.485,,,,,,1411.93,53723.47,52311.54,234877.924,284776.937,49899.013,0.8247786020677651,0.5251078750738296,0.02628143714469672,,
2021-10-22,,2424.106,4578.379,2154.273,,,,,,1482.364,53669.442,52187.078,237076.476,287623.932,50547.456,0.8242585182376271,0.5294681807687831,0.02762026107892085,,
2021-10-29,,2303.837,4526.78,2222.942,,,,,,1482.189,57099.13,55616.942,237307.41,287700.981,50393.571,0.8248404617014496,0.5089350487543022,0.025958171341664928,,
2021-11-05,,2294.311,4595.946,2301.635,,,,,,1450.4,54528.477,53078.077,237608.14,287681.037,50072.897,0.8259430043698014,0.49920321082971825,0.02659894572151722,,
2021-11-12,,2403.64,4762.478,2358.838,,,,,,1499.453,55856.014,54356.561,241011.759,290797.125,49785.365,0.8287969112486927,0.5047036437753623,0.026844969639258538,,
2021-11-19,,2268.12,4464.219,2196.099,,,,,,1535.002,56035.842,54500.84,234832.019,284604.697,49772.678,0.8251164561771095,0.5080664725453656,0.027393217362558772,,
2021-11-26,,2497.818,4768.03,2270.212,,,,,,1565.1,57725.267,56160.167,233632.685,281831.045,48198.36,0.8289813671875645,0.5238679286833346,0.027112910538811364,,
2021-12-03,,2266.576,4686.669,2420.093,,,,,,1550.642,58281.718,56731.076,233905.85,281717.541,47811.692,0.8302850052208853,0.48362194983259965,0.026605976165630534,,
2021-12-10,,2195.319,4694.586,2499.267,,,,,,1606.051,59909.053,58303.002,237584.469,285481.439,47896.97,0.832223873580797,0.4676278163825308,0.026808152016691032,,
2021-12-17,,2224.042,4474.174,2250.132,,,,,,1433.857,53487.155,52053.298,228085.303,275480.096,47394.793,0.8279556538269829,0.4970843780326827,0.026807501726349065,,
2021-12-24,,2083.023,4339.265,2256.241,,,,,,1355.126,51493.007,50137.881,229824.876,276809.393,46984.516,0.8302640076957215,0.480040513773646,0.02631669966370385,,
2021-12-31,,2125.648,4405.901,2280.253,,,,,,1374.029,52256.271,50882.242,227424.464,274728.087,47303.623,0.8278165748666244,0.48245478053183677,0.026294049952397102,,
2022-01-07,,2156.263,4589.394,2433.131,,,,,,1375.866,52398.134,51022.269,234035.339,281579.484,47544.145,0.831151956369094,0.46983610472319437,0.026257919795388135,,
2022-01-14,,2176.884,4854.269,2677.384,,,,,,1450.725,52892.724,51441.999,241704.34,289506.24,47801.9,0.8348847333998742,0.44844733573685347,0.027427685516820798,,
2022-01-21,,2253.641,4656.653,2403.012,,,,,,1494.584,52271.417,50776.833,242701.682,290539.83,47838.148,0.8353473670030026,0.48396154920712364,0.028592758447700012,,
2022-01-28,,2271.075,4835.036,2563.961,,,,,,1582.942,53765.929,52182.987,243815.117,291521.53,47706.413,0.836353723170978,0.4697121179656159,0.029441358671585496,,
2022-02-04,,2353.106,5154.753,2801.647,,,,,,1500.177,52467.209,50967.032,250362.637,298379.946,48017.309,0.839073270024655,0.4564924837329743,0.02859265870231443,,
2022-02-11,,2337.43,5326.902,2989.472,,,,,,1533.323,54066.118,52532.795,258463.545,306556.957,48093.412,0.8431175319893328,0.43879725964547495,0.02836014599753583,,
2022-02-18,,2344.329,5143.54,2799.211,,,,,,1584.881,54740.287,53155.406,260212.898,308446.58,48233.682,0.8436238715955287,0.4557812323808117,0.028952734573715336,,
2022-02-25,,2402.982,5320.143,2917.161,,,,,,1687.194,57102.994,55415.8,263565.34,311856.03,48290.69,0.8451506934145221,0.4516762049441152,0.029546506790869845,,
2022-03-04,,2310.531,5333.939,3023.408,,,,,,1627.496,57086.045,55458.549,258223.627,306001.412,47777.784,0.843864168182335,0.4331753700220418,0.028509524525652464,,
