exposure,ratio_bucket,month,fund_count,exposure_type
Including IRDs,"[3,5)",2015-03,480,GNE
Including IRDs,"[5,10)",2015-03,331,GNE
Including IRDs,10 or more,2015-03,317,GNE
Excluding IRDs,"(0,1.5)",2015-03,1266,GNE
Excluding IRDs,"[1.5,3)",2015-03,1047,GNE
Excluding IRDs,"[3,5)",2015-03,374,GNE
Excluding IRDs,"[5,10)",2015-03,219,GNE
Excluding IRDs,10 or more,2015-03,174,GNE
Including IRDs,"(0,1.5)",2015-04,877,GNE
Including IRDs,"[1.5,3)",2015-04,1073,GNE
Including IRDs,"[3,5)",2015-04,507,GNE
Including IRDs,"[5,10)",2015-04,346,GNE
Including IRDs,10 or more,2015-04,297,GNE
Excluding IRDs,"(0,1.5)",2015-04,1280,GNE
Excluding IRDs,"[1.5,3)",2015-04,1000,GNE
Excluding IRDs,"[3,5)",2015-04,416,GNE
Excluding IRDs,"[5,10)",2015-04,233,GNE
Excluding IRDs,10 or more,2015-04,171,GNE
Including IRDs,"(0,1.5)",2015-05,855,GNE
Including IRDs,"[1.5,3)",2015-05,1060,GNE
Including IRDs,"[3,5)",2015-05,473,GNE
Including IRDs,"[5,10)",2015-05,418,GNE
Including IRDs,10 or more,2015-05,295,GNE
Excluding IRDs,"(0,1.5)",2015-05,1200,GNE
Excluding IRDs,"[1.5,3)",2015-05,1098,GNE
Excluding IRDs,"[3,5)",2015-05,383,GNE
Excluding IRDs,"[5,10)",2015-05,254,GNE
Excluding IRDs,10 or more,2015-05,165,GNE
Including IRDs,"(0,1.5)",2015-06,889,GNE
Including IRDs,"[1.5,3)",2015-06,1095,GNE
Including IRDs,"[3,5)",2015-06,496,GNE
Including IRDs,"[5,10)",2015-06,339,GNE
Including IRDs,10 or more,2015-06,282,GNE
Excluding IRDs,"(0,1.5)",2015-06,1258,GNE
Excluding IRDs,"[1.5,3)",2015-06,1040,GNE
Excluding IRDs,"[3,5)",2015-06,397,GNE
Excluding IRDs,"[5,10)",2015-06,235,GNE
Excluding IRDs,10 or more,2015-06,169,GNE
Including IRDs,"(0,1.5)",2015-07,807,GNE
Including IRDs,"[1.5,3)",2015-07,989,GNE
Including IRDs,"[3,5)",2015-07,544,GNE
Including IRDs,"[5,10)",2015-07,349,GNE
Including IRDs,10 or more,2015-07,299,GNE
Excluding IRDs,"(0,1.5)",2015-07,1074,GNE
Excluding IRDs,"[1.5,3)",2015-07,1082,GNE
Excluding IRDs,"[3,5)",2015-07,410,GNE
Excluding IRDs,"[5,10)",2015-07,238,GNE
Excluding IRDs,10 or more,2015-07,183,GNE
Including IRDs,"(0,1.5)",2015-08,818,GNE
Including IRDs,"[1.5,3)",2015-08,999,GNE
Including IRDs,"[3,5)",2015-08,474,GNE
Including IRDs,"[5,10)",2015-08,390,GNE
Including IRDs,10 or more,2015-08,306,GNE
Excluding IRDs,"(0,1.5)",2015-08,1155,GNE
Excluding IRDs,"[1.5,3)",2015-08,1047,GNE
Excluding IRDs,"[3,5)",2015-08,388,GNE
