period,quarter,cumulative_pct,liquidity_type
At most 1 day,2022Q2,0.057,investor_liquidity
At most 7 days,2022Q2,0.086,investor_liquidity
At most 30 days,2022Q2,0.2,investor_liquidity
At most 90 days,2022Q2,0.368,investor_liquidity
At most 180 days,2022Q2,0.471,investor_liquidity
At most 365 days,2022Q2,0.604,investor_liquidity
At most 1 day,2022Q3,0.055,investor_liquidity
At most 7 days,2022Q3,0.082,investor_liquidity
At most 30 days,2022Q3,0.19,investor_liquidity
At most 90 days,2022Q3,0.357,investor_liquidity
At most 180 days,2022Q3,0.475,investor_liquidity
At most 365 days,2022Q3,0.59,investor_liquidity
At most 1 day,2022Q4,0.056,investor_liquidity
At most 7 days,2022Q4,0.082,investor_liquidity
At most 30 days,2022Q4,0.185,investor_liquidity
At most 90 days,2022Q4,0.379,investor_liquidity
At most 180 days,2022Q4,0.457,investor_liquidity
At most 365 days,2022Q4,0.584,investor_liquidity
At most 1 day,2023Q1,0.054,investor_liquidity
At most 7 days,2023Q1,0.075,investor_liquidity
At most 30 days,2023Q1,0.186,investor_liquidity
At most 90 days,2023Q1,0.346,investor_liquidity
At most 180 days,2023Q1,0.455,investor_liquidity
At most 365 days,2023Q1,0.566,investor_liquidity
At most 1 day,2023Q2,0.056,investor_liquidity
At most 7 days,2023Q2,0.077,investor_liquidity
At most 30 days,2023Q2,0.179,investor_liquidity
At most 90 days,2023Q2,0.342,investor_liquidity
At most 180 days,2023Q2,0.444,investor_liquidity
At most 365 days,2023Q2,0.564,investor_liquidity
At most 1 day,2023Q3,0.054,investor_liquidity
At most 7 days,2023Q3,0.075,investor_liquidity
At most 30 days,2023Q3,0.172,investor_liquidity
At most 90 days,2023Q3,0.334,investor_liquidity
At most 180 days,2023Q3,0.45,investor_liquidity
At most 365 days,2023Q3,0.552,investor_liquidity
At most 1 day,2023Q4,0.058,investor_liquidity
At most 7 days,2023Q4,0.079,investor_liquidity
At most 30 days,2023Q4,0.176,investor_liquidity
At most 90 days,2023Q4,0.334,investor_liquidity
At most 180 days,2023Q4,0.435,investor_liquidity
At most 365 days,2023Q4,0.555,investor_liquidity
At most 1 day,2024Q1,0.057,investor_liquidity
At most 7 days,2024Q1,0.076,investor_liquidity
At most 30 days,2024Q1,0.176,investor_liquidity
At most 90 days,2024Q1,0.332,investor_liquidity
At most 180 days,2024Q1,0.439,investor_liquidity
At most 365 days,2024Q1,0.566,investor_liquidity
At most 1 day,2024Q2,0.071,investor_liquidity
At most 7 days,2024Q2,0.09,investor_liquidity
At most 30 days,2024Q2,0.181,investor_liquidity
At most 90 days,2024Q2,0.34,investor_liquidity
At most 180 days,2024Q2,0.447,investor_liquidity
At most 365 days,2024Q2,0.578,investor_liquidity
At most 1 day,2024Q3,0.072,investor_liquidity
At most 7 days,2024Q3,0.093,investor_liquidity
At most 30 days,2024Q3,0.185,investor_liquidity
At most 90 days,2024Q3,0.343,investor_liquidity
