fund_universe,country,quarter,share,table
All Private Funds,United States,2015Q4,0.501,Tab.3.1
All Private Funds,Cayman Islands,2015Q4,0.378,Tab.3.1
All Private Funds,Luxembourg,2015Q4,0.013,Tab.3.1
All Private Funds,Ireland,2015Q4,0.039,Tab.3.1
All Private Funds,Bermuda,2015Q4,0.013,Tab.3.1
All Private Funds,United Kingdom,2015Q4,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2015Q4,0.023,Tab.3.1
All Private Funds,Other,2015Q4,0.022,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2015Q4,0.557,Tab.3.1
Qualifying Hedge Funds,United States,2015Q4,0.32,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2015Q4,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2015Q4,0.025,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2015Q4,0.054,Tab.3.1
Qualifying Hedge Funds,Bermuda,2015Q4,0.015,Tab.3.1
Qualifying Hedge Funds,Other,2015Q4,0.019,Tab.3.1
Section 3 Liquidity Funds,United States,2015Q4,0.35,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2015Q4,,Tab.3.1
Section 4 Private Equity Funds,United States,2015Q4,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2015Q4,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2015Q4,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2015Q4,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2015Q4,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2015Q4,0.027,Tab.3.1
All Private Funds,United States,2016Q1,0.508,Tab.3.1
All Private Funds,Cayman Islands,2016Q1,0.373,Tab.3.1
All Private Funds,Luxembourg,2016Q1,0.013,Tab.3.1
All Private Funds,Ireland,2016Q1,0.038,Tab.3.1
All Private Funds,Bermuda,2016Q1,0.013,Tab.3.1
All Private Funds,United Kingdom,2016Q1,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q1,0.024,Tab.3.1
All Private Funds,Other,2016Q1,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q1,0.546,Tab.3.1
Qualifying Hedge Funds,United States,2016Q1,0.327,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q1,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q1,0.026,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q1,0.057,Tab.3.1
Qualifying Hedge Funds,Bermuda,2016Q1,0.014,Tab.3.1
Qualifying Hedge Funds,Other,2016Q1,0.018,Tab.3.1
Section 3 Liquidity Funds,United States,2016Q1,0.365,Tab.3.1
Section 3 Liquidity Funds,Cayman Islands,2016Q1,,Tab.3.1
Section 4 Private Equity Funds,United States,2016Q1,0.62,Tab.3.1
Section 4 Private Equity Funds,Cayman Islands,2016Q1,0.303,Tab.3.1
Section 4 Private Equity Funds,Canada,2016Q1,0.012,Tab.3.1
Section 4 Private Equity Funds,United Kingdom,2016Q1,0.026,Tab.3.1
Section 4 Private Equity Funds,Bermuda,2016Q1,0.013,Tab.3.1
Section 4 Private Equity Funds,Other,2016Q1,0.026,Tab.3.1
All Private Funds,United States,2016Q2,0.507,Tab.3.1
All Private Funds,Cayman Islands,2016Q2,0.372,Tab.3.1
All Private Funds,Luxembourg,2016Q2,0.015,Tab.3.1
All Private Funds,Ireland,2016Q2,0.039,Tab.3.1
All Private Funds,Bermuda,2016Q2,0.013,Tab.3.1
All Private Funds,United Kingdom,2016Q2,0.011,Tab.3.1
All Private Funds,"Virgin Islands, British",2016Q2,0.023,Tab.3.1
All Private Funds,Other,2016Q2,0.021,Tab.3.1
Qualifying Hedge Funds,Cayman Islands,2016Q2,0.544,Tab.3.1
Qualifying Hedge Funds,United States,2016Q2,0.331,Tab.3.1
Qualifying Hedge Funds,Luxembourg,2016Q2,0.012,Tab.3.1
Qualifying Hedge Funds,Ireland,2016Q2,0.025,Tab.3.1
Qualifying Hedge Funds,"Virgin Islands, British",2016Q2,0.057,Tab.3.1
