category,quarter,amount,table
Cost-Based,2021Q2,167,Tab.2.23
Level 1,2021Q3,7,Tab.2.23
Level 2,2021Q3,7,Tab.2.23
Level 3,2021Q3,8,Tab.2.23
Cost-Based,2021Q3,167,Tab.2.23
Level 1,2021Q4,11,Tab.2.23
Level 2,2021Q4,6,Tab.2.23
Level 3,2021Q4,9,Tab.2.23
Cost-Based,2021Q4,253,Tab.2.23
Level 1,2022Q1,11,Tab.2.23
Level 2,2022Q1,6,Tab.2.23
Level 3,2022Q1,9,Tab.2.23
Cost-Based,2022Q1,246,Tab.2.23
Level 1,2022Q2,11,Tab.2.23
Level 2,2022Q2,6,Tab.2.23
Level 3,2022Q2,8,Tab.2.23
Cost-Based,2022Q2,246,Tab.2.23
Level 1,2022Q3,11,Tab.2.23
Level 2,2022Q3,6,Tab.2.23
Level 3,2022Q3,8,Tab.2.23
Cost-Based,2022Q3,246,Tab.2.23
Level 1,2022Q4,7,Tab.2.23
Level 2,2022Q4,10,Tab.2.23
Level 3,2022Q4,8,Tab.2.23
Cost-Based,2022Q4,275,Tab.2.23
Level 1,2023Q1,7,Tab.2.23
Level 2,2023Q1,10,Tab.2.23
Level 3,2023Q1,8,Tab.2.23
Cost-Based,2023Q1,272,Tab.2.23
Level 1,2023Q2,7,Tab.2.23
Level 2,2023Q2,10,Tab.2.23
Level 3,2023Q2,8,Tab.2.23
Cost-Based,2023Q2,272,Tab.2.23
Level 1,2023Q3,7,Tab.2.23
Level 2,2023Q3,10,Tab.2.23
Level 3,2023Q3,8,Tab.2.23
Cost-Based,2023Q3,272,Tab.2.23
Level 1,2023Q4,11,Tab.2.23
Level 2,2023Q4,8,Tab.2.23
Level 3,2023Q4,9,Tab.2.23
Cost-Based,2023Q4,265,Tab.2.23
Level 1,2024Q1,11,Tab.2.23
Level 2,2024Q1,8,Tab.2.23
Level 3,2024Q1,9,Tab.2.23
Cost-Based,2024Q1,265,Tab.2.23
Level 1,2024Q2,11,Tab.2.23
Level 2,2024Q2,8,Tab.2.23
Level 3,2024Q2,9,Tab.2.23
Cost-Based,2024Q2,264,Tab.2.23
Level 1,2024Q3,11,Tab.2.23
Level 2,2024Q3,8,Tab.2.23
Level 3,2024Q3,9,Tab.2.23
Cost-Based,2024Q3,266,Tab.2.23
Level 1,2024Q4,7,Tab.2.23
Level 2,2024Q4,26,Tab.2.23
Level 3,2024Q4,8,Tab.2.23
Cost-Based,2024Q4,290,Tab.2.23
Level 1,2025Q1,7,Tab.2.23
Level 2,2025Q1,26,Tab.2.23
Level 3,2025Q1,8,Tab.2.23
Cost-Based,2025Q1,293,Tab.2.23
