top_n,quarter,nav_share,table,gav_share,borrowing_share,derivative_share
Top 25,2013Q1,0.147,Tab.6.3,0.23,0.45,0.678
Top 25,2013Q2,0.145,Tab.6.3,0.234,0.48,0.61
Top 25,2013Q3,0.142,Tab.6.3,0.228,0.444,0.56
Top 25,2013Q4,0.137,Tab.6.3,0.207,0.412,0.542
Top 25,2014Q1,0.137,Tab.6.3,0.208,0.386,0.512
Top 25,2014Q2,0.137,Tab.6.3,0.212,0.395,0.495
Top 25,2014Q3,0.138,Tab.6.3,0.222,0.404,0.479
Top 25,2014Q4,0.137,Tab.6.3,0.212,0.421,0.484
Top 25,2015Q1,0.144,Tab.6.3,0.231,0.435,0.475
Top 25,2015Q2,0.144,Tab.6.3,0.217,0.423,0.465
Top 25,2015Q3,0.141,Tab.6.3,0.231,0.434,0.488
Top 25,2015Q4,0.14,Tab.6.3,0.213,0.411,0.459
Top 25,2016Q1,0.137,Tab.6.3,0.233,0.439,0.474
Top 25,2016Q2,0.136,Tab.6.3,0.237,0.454,0.49
Top 25,2016Q3,0.138,Tab.6.3,0.229,0.456,0.508
Top 25,2016Q4,0.138,Tab.6.3,0.232,0.445,0.488
Top 25,2017Q1,0.134,Tab.6.3,0.235,0.452,0.484
Top 25,2017Q2,0.135,Tab.6.3,0.234,0.463,0.468
Top 25,2017Q3,0.132,Tab.6.3,0.242,0.476,0.494
Top 25,2017Q4,0.134,Tab.6.3,0.238,0.477,0.479
Top 25,2018Q1,0.133,Tab.6.3,0.242,0.492,0.497
Top 25,2018Q2,0.135,Tab.6.3,0.238,0.484,0.497
Top 25,2018Q3,0.135,Tab.6.3,0.244,0.485,0.486
Top 25,2018Q4,0.135,Tab.6.3,0.261,0.515,0.491
Top 25,2019Q1,0.134,Tab.6.3,0.257,0.511,0.501
Top 25,2019Q2,0.135,Tab.6.3,0.254,0.501,0.471
Top 25,2019Q3,0.136,Tab.6.3,0.25,0.501,0.484
Top 25,2019Q4,0.136,Tab.6.3,0.246,0.507,0.473
Top 25,2020Q1,0.14,Tab.6.3,0.259,0.525,0.523
Top 25,2020Q2,0.14,Tab.6.3,0.238,0.504,0.489
Top 25,2020Q3,0.141,Tab.6.3,0.246,0.511,0.538
Top 25,2020Q4,0.135,Tab.6.3,0.237,0.489,0.551
Top 25,2021Q1,0.133,Tab.6.3,0.228,0.472,0.564
Top 25,2021Q2,0.13,Tab.6.3,0.237,0.476,0.551
Top 25,2021Q3,0.133,Tab.6.3,0.252,0.48,0.569
Top 25,2021Q4,0.133,Tab.6.3,0.253,0.495,0.555
Top 25,2022Q1,0.136,Tab.6.3,0.257,0.488,0.555
Top 25,2022Q2,0.135,Tab.6.3,0.261,0.503,0.551
Top 25,2022Q3,0.137,Tab.6.3,0.258,0.504,0.553
Top 25,2022Q4,0.133,Tab.6.3,0.264,0.515,0.55
Top 25,2023Q1,0.134,Tab.6.3,0.268,0.516,0.561
Top 25,2023Q2,0.133,Tab.6.3,0.281,0.526,0.553
Top 25,2023Q3,0.136,Tab.6.3,0.292,0.535,0.549
Top 25,2023Q4,0.131,Tab.6.3,0.306,0.555,0.564
Top 25,2024Q1,0.134,Tab.6.3,0.299,0.554,0.555
Top 25,2024Q2,0.134,Tab.6.3,0.297,0.545,0.568
Top 25,2024Q3,0.135,Tab.6.3,0.307,0.555,0.579
Top 25,2024Q4,0.134,Tab.6.3,0.304,0.544,0.57
Top 25,2025Q1,0.135,Tab.6.3,0.312,0.539,0.587
Top 250,2013Q1,0.48,Tab.6.3,0.567,0.834,0.926
Top 250,2013Q2,0.478,Tab.6.3,0.565,0.837,0.909
Top 250,2013Q3,0.474,Tab.6.3,0.557,0.828,0.894
Top 250,2013Q4,0.464,Tab.6.3,0.54,0.8,0.881
Top 250,2014Q1,0.458,Tab.6.3,0.544,0.795,0.874
Top 250,2014Q2,0.457,Tab.6.3,0.542,0.793,0.874
Top 250,2014Q3,0.452,Tab.6.3,0.549,0.793,0.869
Top 250,2014Q4,0.447,Tab.6.3,0.539,0.809,0.858
Top 250,2015Q1,0.454,Tab.6.3,0.553,0.811,0.865
Top 250,2015Q2,0.454,Tab.6.3,0.545,0.803,0.856
Top 250,2015Q3,0.447,Tab.6.3,0.549,0.811,0.864
Top 250,2015Q4,0.448,Tab.6.3,0.538,0.798,0.849
Top 250,2016Q1,0.444,Tab.6.3,0.544,0.806,0.856
Top 250,2016Q2,0.442,Tab.6.3,0.55,0.807,0.858
Top 250,2016Q3,0.443,Tab.6.3,0.553,0.819,0.863
Top 250,2016Q4,0.442,Tab.6.3,0.551,0.817,0.862
Top 250,2017Q1,0.437,Tab.6.3,0.553,0.816,0.864
Top 250,2017Q2,0.435,Tab.6.3,0.55,0.819,0.859
Top 250,2017Q3,0.435,Tab.6.3,0.56,0.827,0.865
Top 250,2017Q4,0.433,Tab.6.3,0.554,0.826,0.86
Top 250,2018Q1,0.43,Tab.6.3,0.555,0.829,0.87
Top 250,2018Q2,0.426,Tab.6.3,0.552,0.829,0.864
Top 250,2018Q3,0.425,Tab.6.3,0.56,0.83,0.863
Top 250,2018Q4,0.421,Tab.6.3,0.567,0.847,0.867
Top 250,2019Q1,0.425,Tab.6.3,0.571,0.851,0.878
Top 250,2019Q2,0.426,Tab.6.3,0.568,0.85,0.862
Top 250,2019Q3,0.426,Tab.6.3,0.563,0.849,0.87
Top 250,2019Q4,0.422,Tab.6.3,0.557,0.846,0.865
Top 250,2020Q1,0.423,Tab.6.3,0.565,0.843,0.882
Top 250,2020Q2,0.428,Tab.6.3,0.552,0.844,0.873
Top 250,2020Q3,0.434,Tab.6.3,0.561,0.85,0.89
Top 250,2020Q4,0.43,Tab.6.3,0.554,0.842,0.891
Top 250,2021Q1,0.427,Tab.6.3,0.542,0.831,0.892
Top 250,2021Q2,0.423,Tab.6.3,0.542,0.83,0.895
Top 250,2021Q3,0.427,Tab.6.3,0.555,0.832,0.906
Top 250,2021Q4,0.422,Tab.6.3,0.55,0.834,0.899
Top 250,2022Q1,0.42,Tab.6.3,0.546,0.834,0.903
