strategy,quarter,gav,nav,borrowing
Macro,2019Q4,684.0,160.0,27.6
Macro,2020Q1,706.0,160.0,26.7
Macro,2020Q2,583.0,157.0,20.2
Macro,2020Q3,782.0,171.0,32.5
Macro,2020Q4,834.0,183.0,33.1
Macro,2021Q1,832.0,184.0,37.3
Macro,2021Q2,946.0,199.0,36.9
Macro,2021Q3,940.0,198.0,34.6
Macro,2021Q4,785.0,187.0,32.9
Macro,2022Q1,929.0,207.0,33.0
Macro,2022Q2,888.0,205.0,29.2
Macro,2022Q3,921.0,204.0,28.6
Macro,2022Q4,936.0,191.0,34.4
Macro,2023Q1,925.0,185.0,34.3
Macro,2023Q2,1009.0,181.0,36.8
Macro,2023Q3,1027.0,180.0,37.8
Macro,2023Q4,1096.0,193.0,39.7
Macro,2024Q1,1173.0,188.0,44.3
Macro,2024Q2,1071.0,173.0,43.0
Macro,2024Q3,1366.0,190.0,46.7
Macro,2024Q4,1280.0,185.0,44.4
Macro,2025Q1,1618.0,195.0,50.0
Managed Futures/CTA,2013Q1,46.0,42.0,11.9
Managed Futures/CTA,2013Q2,43.0,39.0,7.2
Managed Futures/CTA,2013Q3,44.0,39.0,10.2
Managed Futures/CTA,2013Q4,48.0,42.0,10.8
Managed Futures/CTA,2014Q1,49.0,40.0,7.4
Managed Futures/CTA,2014Q2,46.0,38.0,10.3
Managed Futures/CTA,2014Q3,48.0,38.0,10.4
Managed Futures/CTA,2014Q4,51.0,43.0,8.6
Managed Futures/CTA,2015Q1,51.0,44.0,7.8
Managed Futures/CTA,2015Q2,50.0,42.0,10.1
Managed Futures/CTA,2015Q3,41.0,34.0,14.3
Managed Futures/CTA,2015Q4,54.0,46.0,10.9
Managed Futures/CTA,2016Q1,48.0,40.0,9.8
Managed Futures/CTA,2016Q2,67.0,55.0,7.3
Managed Futures/CTA,2016Q3,67.0,57.0,8.2
Managed Futures/CTA,2016Q4,63.0,54.0,7.3
Managed Futures/CTA,2017Q1,67.0,57.0,8.0
Managed Futures/CTA,2017Q2,75.0,60.0,9.5
Managed Futures/CTA,2017Q3,72.0,60.0,8.4
Managed Futures/CTA,2017Q4,76.0,61.0,10.0
Managed Futures/CTA,2018Q1,70.0,60.0,8.4
Managed Futures/CTA,2018Q2,80.0,62.0,10.5
Managed Futures/CTA,2018Q3,70.0,53.0,14.0
Managed Futures/CTA,2018Q4,70.0,53.0,9.7
Managed Futures/CTA,2019Q1,83.0,60.0,17.9
